Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
hepatocyte	Homo sapiens	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
liver	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
kidney	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Rattus norvegicus	ethionine
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
hepatocyte	Homo sapiens	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
liver	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Rattus norvegicus	etoposide
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
hepatocyte	Homo sapiens	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
liver	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Rattus norvegicus	famotidine
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
hepatocyte	Homo sapiens	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
liver	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Rattus norvegicus	fenofibrate
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
hepatocyte	Homo sapiens	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
liver	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Rattus norvegicus	fluphenazine
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
hepatocyte	Homo sapiens	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
liver	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Rattus norvegicus	flutamide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
hepatocyte	Homo sapiens	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
liver	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Rattus norvegicus	furosemide
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
hepatocyte	Homo sapiens	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
liver	Rattus norvegicus	gemfibrozil
